artist,song,rating
Haley,Without Me ,4
Ariane Grande,"Without You, Next",3
Travis Scott,Sicko Mode,4
Panic at the Disco,High Hopes,5
Maroon 5 ft Cardi B,Girls Like You ,3
Lil Baby & Gunna,Drip to Hard,4
Post Malone,Wow,5
Post Malone,Better Now,5
5 Seconds of Summer,Young Blood,3
Cardi B,Money,2
Juice WRLD,Lucid Dreams,5
Khalid,Better,5
Ella Mai,Trip,5
Imagine Dragons,Natural,5
Chris Brown,Undecided,4
Chris Brown ,Wall to Wall,2
Lil Wayne,Uproar,2
YG ft. Big Sean & Niki Minjai,Big Bank ,5
Dean Lewis,Be Alright,3
Future,Crushed Up,2
Camila Cabello,Conquences,3
Tory Lanez & Rich The Kid,Talk To Me,5
Ariane Grande,Imagine,2
Zara Larsson,Ruin My Life,4
Lukas Graham,Love Someone,4
